galaxy_name,completeness_pct,quality_flag,constellation,cluster_id,ra,dec,distance_mpc,effective_radius_kpc,stellar_mass_solar,dark_matter_fraction
KiDS_UDG_NGC5846_226.33_1.81,100.0,Confirmed,Virgo,16,226.3342,1.8115,26.8,2.267,86000000.0,0.52
AHCJ1359+3726,83.3,Needs Review,Andromeda,-1,13.9939,37.4431,42.0,4.4,269000000.0,
SMDG0015544+280910,83.3,Needs Review,Andromeda,-1,3.977083333333333,28.15277777777778,127.0,3.53,263026799.0,
SMDG0018470+302845,83.3,Needs Review,Andromeda,-1,4.695833333333333,30.479166666666668,78.0,2.74,426579518.0,
SMDG0037442+241228,83.3,Needs Review,Andromeda,-1,9.4341667,24.2077778,63.2,3.6,316227766.0,
And XIX,83.3,Needs Review,Andromeda,5,4.88375,35.0436111,0.93,1.76,6309573.44,
Andromeda XIX,83.3,Needs Review,Andromeda,5,4.89375,35.0447222,0.93,3.1,1600000.0,
AHCJ020345.3+371444-1,83.3,Needs Review,Andromeda,18,30.93875,37.24889,50.0,1.5,234000000.0,
AHCJ020345.3+371444-2,83.3,Needs Review,Andromeda,18,30.92958,37.24528,50.0,3.5,603000000.0,
AHCJ2207+4008,83.3,Needs Review,Andromeda,19,22.1282,40.1478,56.0,9.6,2880000000.0,
AHCJ2216+4024,83.3,Needs Review,Andromeda,19,22.2778,40.4061,55.0,4.7,427000000.0,
AHCJ2239+3832,83.3,Needs Review,Andromeda,19,22.6507,38.5339,53.0,4.6,245000000.0,
[TT 2009]30,83.3,Needs Review,Andromeda,23,35.7279167,42.7125,9.8,1.7,6165950.04,
SMDG0025100+310314,83.3,Needs Review,Andromeda,53,6.291666666666667,31.05388888888889,67.0,1.97,151356124.0,
SMDG0033164+283310,83.3,Needs Review,Andromeda,53,8.318333333333333,28.55277777777778,70.0,2.8,93325430.0,
SMDG2207591-100713,83.3,Needs Review,Aquarius,-1,331.99625,-10.1202778,40.3,1.6,31622776.6,
SMDG2217328-132522,83.3,Needs Review,Aquarius,-1,334.3866667,-13.4227778,22.5,1.7,25118864.32,
SMDG2227407-122104,83.3,Needs Review,Aquarius,-1,336.9195833,-12.3511111,64.9,3.1,125892541.2,
SMDG2235086+011040,83.3,Needs Review,Aquarius,-1,338.7858333,1.1777778,228.2,6.8,1584893192.0,
SMDG2251037-015247,83.3,Needs Review,Aquarius,-1,342.7654167,-1.8797222,40.4,1.2,63095734.45,
SMDG2329214-063209,83.3,Needs Review,Aquarius,-1,352.3391667,-6.5358333,130.6,5.0,630957344.5,
SMDG2343135-083901,83.3,Needs Review,Aquarius,-1,355.80625,-8.6502778,25.4,1.2,31622776.6,
SMDG2104498+002509,83.3,Needs Review,Aquarius,52,316.2075,0.4191667,54.7,1.9,7943282.347,
SMDG2113130+014217,83.3,Needs Review,Aquarius,52,318.3041667,1.7047222,55.8,1.7,50118723.36,
AGC124634,83.3,Needs Review,Aries,-1,35.5229,18.4089,30.6,1.62,602559586.0,
AGC115292,83.3,Needs Review,Aries,8,27.9149,17.2881,34.5,1.67,537031796.0,
AGC 248937,83.3,Needs Review,Boötes,-1,216.4779,12.9189,118.0,4.62,346736850.5,
AGC 749493,83.3,Needs Review,Boötes,-1,226.271,24.034,64.2,4.15,117489755.0,
UGC 9050-Dw1,83.3,Needs Review,Boötes,-1,212.3041667,51.2244444,35.2,6.2,31622776.6,
AGC 249525,83.3,Needs Review,Boötes,5,214.4696,17.5444,1.2,1.32,,0.99
AGC 249565,83.3,Needs Review,Boötes,5,218.9846,17.1678,1.2,0.965,,0.99
AGC181474,83.3,Needs Review,Cancer,-1,121.5521,15.504,30.4,2.16,234422881.0,
AGC749387,83.3,Needs Review,Cancer,-1,126.7348,24.729,34.4,3.15,1659586907.0,
SMDG0833162+280607,83.3,Needs Review,Cancer,-1,128.3175,28.101944444444445,88.0,3.11,147910839.0,
AGC189298,83.3,Needs Review,Cancer,9,133.1097,30.726,31.8,1.57,295120922.0,
AGC198686,83.3,Needs Review,Cancer,9,135.9513,31.7847,30.0,1.21,489778819.0,
AHCJ135938.5+372631,83.3,Needs Review,Canes Venatici,-1,209.91042,37.44194,42.0,4.4,269000000.0,
Ark 227,83.3,Needs Review,Canes Venatici,-1,209.04208,40.30333,35.0,0.23,5000000000.0,
M-161-1,83.3,Needs Review,Canes Venatici,-1,202.473,46.372,81.0,4.1,134896288.0,
NGC 4631dw1,83.3,Needs Review,Canes Venatici,5,190.2375,32.7925,7.4,2.355,19952623.1,
AGC 234932,83.3,Needs Review,Canes Venatici,12,203.78042,31.52167,70.0,2.9,339000000.0,
UGC 8503,83.3,Needs Review,Canes Venatici,12,202.68708,32.76083,67.0,7.6,1910000000.0,
AGC 239039,83.3,Needs Review,Canes Venatici,14,202.67583,29.79278,47.0,3.4,363000000.0,
AGC 239112,83.3,Needs Review,Canes Venatici,14,204.26917,31.89417,48.0,2.9,110000000.0,
UGC 8602,83.3,Needs Review,Canes Venatici,14,204.18958,32.09306,48.0,4.4,490000000.0,
UGC 8605,83.3,Needs Review,Canes Venatici,14,204.225,32.09556,48.0,5.7,575000000.0,
SMDG1312223+312320,83.3,Needs Review,Canes Venatici,49,198.0929,31.3889,107.0,3.0,151356125.0,
AHCJ1308+5437,83.3,Needs Review,Cassiopeia,-1,13.1418,54.6331,42.0,4.8,575400000.0,
Cas III,83.3,Needs Review,Cassiopeia,5,8.9975,51.5597222,0.78,1.8,36307805.48,
KK98a 189,83.3,Needs Review,Centaurus,5,198.18846,-41.83201,3.8,0.284,3019952.0,
dw1312-4218,83.3,Needs Review,Centaurus,5,198.09366,-42.31155,3.8,0.121,147911.0,
dw1312-4244,83.3,Needs Review,Centaurus,5,198.04554,-42.74546,3.8,0.143,223872.0,
dw1312-4246,83.3,Needs Review,Centaurus,5,198.042417,-42.780148,3.8,0.118,776247.0,
dw1313-4211,83.3,Needs Review,Centaurus,5,198.39284,-42.18566,3.8,0.228,1412538.0,
dw1313-4214,83.3,Needs Review,Centaurus,5,198.40167,-42.23558,3.8,0.184,1071519.0,
dw1313-4246,83.3,Needs Review,Centaurus,5,198.178625,-42.780714,3.8,0.102,269153.0,
dw1314-4142,83.3,Needs Review,Centaurus,5,198.6867,-41.70785,3.8,0.074,169824.0,
dw1314-4204,83.3,Needs Review,Centaurus,5,198.53399,-42.06903,3.8,0.085,602560.0,
dw1314-4230,83.3,Needs Review,Centaurus,5,198.59133,-42.51163,3.8,0.112,776247.0,
dw1315-4232,83.3,Needs Review,Centaurus,5,198.76242,-42.53827,3.8,0.16,575440.0,
dw1315-4309,83.3,Needs Review,Centaurus,5,198.89154,-43.15755,3.8,0.115,186209.0,
dw1316-4224,83.3,Needs Review,Centaurus,5,199.17618,-42.40148,3.8,0.272,1995262.0,
dw1317-4255,83.3,Needs Review,Centaurus,5,199.45199,-42.92791,3.8,0.246,354813.0,
dw1318-4233,83.3,Needs Review,Centaurus,5,199.52329,-42.56031,3.8,0.319,407380.0,
dw1319-4203,83.3,Needs Review,Centaurus,5,199.83864,-42.06076,3.8,0.093,660693.0,
Disco Ball,83.3,Needs Review,Cetus,-1,9.652083,-6.701944,45.6,3.3,316227766.0,
Nube,83.3,Needs Review,Cetus,-1,20.8640417,-0.6243972,107.0,6.9,400000000.0,
SMDG0045533-093353,83.3,Needs Review,Cetus,-1,11.4720833,-9.5647222,79.5,3.0,630957344.5,
SMDG0109254-014543,83.3,Needs Review,Cetus,-1,17.3583333,-1.7619444,54.7,3.0,794328234.7,
SMDG0134336+005425,83.3,Needs Review,Cetus,-1,23.64,0.9069444,178.5,3.5,63095734.45,
SMDG0152163-044242,83.3,Needs Review,Cetus,-1,28.0679167,-4.7116667,68.6,6.9,251188643.2,
342,83.3,Needs Review,Cetus,3,36.52391,-5.25631,32.0,1.48,64600000.0,
KUG 0203-Dw1,83.3,Needs Review,Cetus,3,31.44375,-9.84189,26.8,1.5,12589254.117941674,
LSBG-285,83.3,Needs Review,Cetus,3,39.48117,-6.25663,24.6,1.2,27000000.0,
NGC 1084-DF1,83.3,Needs Review,Cetus,3,40.65833,-7.33786,18.5,1.63,193800000.0,
SMDG0126070-020411,83.3,Needs Review,Cetus,3,21.52916666666667,-2.069722222222222,29.0,1.74,60255958.0,
SMDG0127038-082400,83.3,Needs Review,Cetus,3,21.7658333,-8.4,26.9,1.1,19952623.15,
SMDG0145431-084143,83.3,Needs Review,Cetus,3,26.4295833,-8.6952778,25.9,1.2,31622776.6,
SMDG0147005-142556,83.3,Needs Review,Cetus,3,26.7520833,-14.4322222,23.8,1.0,15848931.92,
SMDG0148234-131444,83.3,Needs Review,Cetus,3,27.0975,-13.2455556,23.2,1.0,15848931.92,
SMDG0224231-031059,83.3,Needs Review,Cetus,3,36.09625,-3.1830556,18.7,1.4,39810717.06,
J01:22:31.599-01:37:29.491,83.3,Needs Review,Cetus,28,20.63166,-1.62486,77.7,1.3468,25118864.315,
J01:22:44.406-01:21:05.462,83.3,Needs Review,Cetus,28,20.68503,-1.35152,77.7,1.2376,19952623.149,
J01:22:57.659-01:03:57.566,83.3,Needs Review,Cetus,28,20.74025,-1.06599,77.7,0.9828,25118864.315,
J01:23:09.271-01:28:26.721,83.3,Needs Review,Cetus,28,20.78863,-1.47409,77.7,1.3832,19952623.149,
J01:23:22.943-01:17:38.620,83.3,Needs Review,Cetus,28,20.8456,-1.29406,77.7,1.092,10000000.0,
J01:23:27.773-00:55:21.039,83.3,Needs Review,Cetus,28,20.86572,-0.92251,77.7,1.0192,6309573.445,
J01:23:31.637-01:23:25.319,83.3,Needs Review,Cetus,28,20.88182,-1.39037,77.7,1.092,125892541.179,
J01:23:44.851-01:37:27.984,83.3,Needs Review,Cetus,28,20.93688,-1.62444,77.7,1.3104,31622776.602,
J01:23:47.268-01:17:26.726,83.3,Needs Review,Cetus,28,20.94695,-1.29076,77.7,1.4196,19952623.149,
J01:23:59.643-01:24:43.713,83.3,Needs Review,Cetus,28,20.99851,-1.41214,77.7,1.456,50118723.362,
J01:24:00.601-01:35:15.808,83.3,Needs Review,Cetus,28,21.0025,-1.58772,77.7,1.2376,63095734.455,
J01:24:02.742-01:49:30.931,83.3,Needs Review,Cetus,28,21.01142,-1.82526,77.7,1.1648,50118723.362,
J01:24:06.822-01:42:08.144,83.3,Needs Review,Cetus,28,21.02843,-1.70226,77.7,1.638,25118864.315,
J01:24:09.443-01:34:51.826,83.3,Needs Review,Cetus,28,21.03935,-1.58106,77.7,1.1648,50118723.362,
J01:24:09.514-01:37:19.400,83.3,Needs Review,Cetus,28,21.03964,-1.62206,77.7,1.274,25118864.315,
J01:24:10.378-01:24:03.853,83.3,Needs Review,Cetus,28,21.04324,-1.40107,77.7,1.1648,79432823.472,
J01:24:12.524-01:15:53.605,83.3,Needs Review,Cetus,28,21.05218,-1.26489,77.7,1.1284,79432823.472,
J01:24:16.553-01:24:54.715,83.3,Needs Review,Cetus,28,21.06897,-1.4152,77.7,1.0556,10000000.0,
J01:24:17.177-01:30:07.435,83.3,Needs Review,Cetus,28,21.07157,-1.50207,77.7,1.1648,79432823.472,
J01:24:19.742-01:36:32.984,83.3,Needs Review,Cetus,28,21.08226,-1.60916,77.7,1.0556,50118723.362,
J01:24:24.290-01:41:09.630,83.3,Needs Review,Cetus,28,21.10121,-1.68601,77.7,1.3104,15848931.924,
J01:24:24.399-01:13:30.857,83.3,Needs Review,Cetus,28,21.10166,-1.22524,77.7,1.9656,63095734.455,
J01:24:24.479-01:25:08.939,83.3,Needs Review,Cetus,28,21.102,-1.41915,77.7,1.092,12589254.118,
J01:24:26.226-01:24:45.783,83.3,Needs Review,Cetus,28,21.10927,-1.41272,77.7,2.184,100000000.0,
J01:24:28.295-01:25:03.997,83.3,Needs Review,Cetus,28,21.1179,-1.41778,77.7,1.456,31622776.602,
J01:24:35.281-01:31:10.590,83.3,Needs Review,Cetus,28,21.147,-1.51961,77.7,1.2376,15848931.924,
J01:24:36.340-02:04:22.976,83.3,Needs Review,Cetus,28,21.15142,-2.07305,77.7,2.366,50118723.362,
J01:24:40.652-01:38:11.829,83.3,Needs Review,Cetus,28,21.16939,-1.63662,77.7,1.82,100000000.0,
J01:24:40.794-01:25:25.069,83.3,Needs Review,Cetus,28,21.16998,-1.42363,77.7,0.9464,19952623.149,
J01:24:41.234-01:43:58.390,83.3,Needs Review,Cetus,28,21.17181,-1.73289,77.7,2.6208,39810717.055,
J01:24:41.836-01:15:10.522,83.3,Needs Review,Cetus,28,21.17432,-1.25292,77.7,1.1284,25118864.315,
J01:24:43.896-01:30:26.899,83.3,Needs Review,Cetus,28,21.1829,-1.50747,77.7,0.9464,50118723.362,
J01:24:45.955-02:03:44.573,83.3,Needs Review,Cetus,28,21.19148,-2.06238,77.7,1.274,39810717.055,
J01:24:46.134-00:50:40.281,83.3,Needs Review,Cetus,28,21.19223,-0.84452,77.7,1.9656,31622776.602,
J01:24:47.646-01:02:23.619,83.3,Needs Review,Cetus,28,21.19852,-1.03989,77.7,1.5652,100000000.0,
AGC 226067,83.3,Needs Review,Coma Berenices,-1,187.456,13.789,120.0,6.0,200000000.0,
AGC 229101,83.3,Needs Review,Coma Berenices,-1,188.789,14.012,90.0,4.5,50000000.0,
AGC 235123,83.3,Needs Review,Coma Berenices,-1,194.123,20.89,125.0,7.0,300000000.0,
AGC 237789,83.3,Needs Review,Coma Berenices,-1,196.567,22.456,110.0,5.8,180000000.0,
SMDG1225185+270858,83.3,Needs Review,Coma Berenices,-1,186.3271,27.1494,84.1,2.63,102329299.0,
SMDG1226040+241802,83.3,Needs Review,Coma Berenices,-1,186.5167,24.3006,165.5,4.48,371535229.0,
SMDG1230359+273310,83.3,Needs Review,Coma Berenices,-1,187.64958,27.552778,97.1,3.4,102329299.0,
SMDG1248019+261235,83.3,Needs Review,Coma Berenices,-1,192.00792,26.209722,86.3,3.1,102329299.0,
UGC 8363,83.3,Needs Review,Coma Berenices,-1,199.69292,27.73278,38.0,3.3,813000000.0,
358,83.3,Needs Review,Coma Berenices,4,194.81,28.038,100.0,1.75,125893000.0,
436,83.3,Needs Review,Coma Berenices,4,195.122,27.99,100.0,2.5,54954000.0,
534,83.3,Needs Review,Coma Berenices,4,194.254,27.532,100.0,1.66,60256000.0,
SMDG1251014,83.3,Needs Review,Coma Berenices,4,192.75563,27.798033,100.0,4.99,490000000.0,
SMDG1259562+274812,83.3,Needs Review,Coma Berenices,4,194.98416,27.803333,100.0,2.3,91000000.0,
SMDG1300117+274941,83.3,Needs Review,Coma Berenices,4,195.04875,27.828056,100.0,2.4,124000000.0,
SMDG1300204+274924,83.3,Needs Review,Coma Berenices,4,195.085005,27.823334,100.0,3.0,100000000.0,
Yagi398,83.3,Needs Review,Coma Berenices,4,195.00173,27.80547,100.0,1.34,36000000.0,
ComaP,83.3,Needs Review,Coma Berenices,5,188.0429,20.4231,5.5,1.0,35000000.0,
AGC 229110,83.3,Needs Review,Coma Berenices,11,191.5362,28.7508,112.0,5.26,158489319.0,
SMDG1241424+273353,83.3,Needs Review,Coma Berenices,11,190.4267,27.5647,110.9,3.81,229086765.0,
AGC 236456,83.3,Needs Review,Coma Berenices,13,195.345,21.123,100.0,5.0,100000000.0,
SMDG1301004+210356,83.3,Needs Review,Coma Berenices,13,195.25167,21.065556,100.7,4.2,165958690.0,
KK 180,83.3,Needs Review,Coma Berenices,15,196.1258,17.7589,16.4,1.62,110000000.0,
NGVSJ12:12:21.23+13:44:16.6,83.3,Needs Review,Coma Berenices,15,183.088,13.738,16.5,2.29,26400000.0,
NGVSJ12:23:47.33+13:36:08.3,83.3,Needs Review,Coma Berenices,15,185.947,13.602,16.5,2.04,26800000.0,
NGVSJ12:24:01.84+13:51:56.4,83.3,Needs Review,Coma Berenices,15,186.008,13.866,16.5,2.98,13700000.0,
NGVSJ12:24:36.61+13:36:45.2,83.3,Needs Review,Coma Berenices,15,186.153,13.613,16.5,1.6,7700000.0,
NGVSJ12:26:48.36+13:21:17.7,83.3,Needs Review,Coma Berenices,15,186.702,13.355,16.5,2.06,17300000.0,
NGVSJ12:26:57.00+14:47:52.5,83.3,Needs Review,Coma Berenices,15,186.738,14.798,16.5,2.06,8100000.0,
NGVSJ12:27:15.75+13:26:56.1,83.3,Needs Review,Coma Berenices,15,186.816,13.449,16.5,1.23,11600000.0,
NGVSJ12:28:26.16+15:22:38.6,83.3,Needs Review,Coma Berenices,15,187.109,15.377,16.5,1.19,3700000.0,
NGVSJ12:33:02.20+13:42:14.0,83.3,Needs Review,Coma Berenices,15,188.259,13.704,16.5,2.54,4600000.0,
VCC 1181,83.3,Needs Review,Coma Berenices,15,187.345,15.064,16.5,2.07,33900000.0,
VCC 2188,83.3,Needs Review,Coma Berenices,15,192.0,13.5,16.5,3.6,130000000.0,
VCC 481,83.3,Needs Review,Coma Berenices,15,185.379,15.501,16.5,2.2,55000000.0,
VCC 824,83.3,Needs Review,Coma Berenices,15,186.411,14.151,16.5,2.24,153000000.0,
PEARLSDG,83.3,Needs Review,Coma Berenices,47,183.075,27.59,30.0,0.53,17000000.0,
SMDG1220188+280131,83.3,Needs Review,Coma Berenices,47,185.0792,28.0253,32.6,2.0,32359365.0,
SMDG1315427+311846,83.3,Needs Review,Coma Berenices,49,198.9279,31.3128,106.9,5.85,275422870.0,
NGC 4594-DGSAT-1,83.3,Needs Review,Corvus,5,189.97958,-11.744,10.6,1.67,62800000.0,
J024013-393446,83.3,Needs Review,Eridanus,-1,40.055,-39.579,28.1,1.6,20000000.0,
J032705-211110-UDG,83.3,Needs Review,Eridanus,-1,51.78,-21.184,157.0,5.9,380000000.0,
SMDG0321028-042741,83.3,Needs Review,Eridanus,-1,50.2616667,-4.4613889,55.5,2.3,125892541.2,
SMDG0459164-072243,83.3,Needs Review,Eridanus,-1,74.8183333,-7.3786111,54.0,2.5,158489319.2,
J033402-205037,83.3,Needs Review,Eridanus,26,53.508,-20.845,25.2,1.9,22400000.0,
SMDG 0332252-231233,83.3,Needs Review,Eridanus,26,53.10507,-23.20915,21.0,1.33,54954087.0,
SMDG 0334081-232128,83.3,Needs Review,Eridanus,26,53.53354,-23.35785,21.0,1.09,1995262.0,
SMDG 0335286-230353,83.3,Needs Review,Eridanus,26,53.86915,-23.06482,21.0,1.02,2884032.0,
SMDG 0336039-233707,83.3,Needs Review,Eridanus,26,54.01629,-23.61862,21.0,0.75,10471285.0,
SMDG 0336444-231222,83.3,Needs Review,Eridanus,26,54.18518,-23.2061,21.0,1.14,8912509.0,
SMDG 0337279-231213,83.3,Needs Review,Eridanus,26,54.36616,-23.20352,21.0,0.91,7079458.0,
SMDG 0338261-231711,83.3,Needs Review,Eridanus,26,54.60877,-23.28646,21.0,1.64,10232930.0,
SMDG 0338400-234705,83.3,Needs Review,Eridanus,26,54.66684,-23.78466,21.0,0.98,19498446.0,
SMDG 0338435-231802,83.3,Needs Review,Eridanus,26,54.68114,-23.30051,21.0,1.32,44668359.0,
SMDG 0339260-234204,83.3,Needs Review,Eridanus,26,54.85834,-23.70116,21.0,0.86,6918309.0,
SMDG 0339319-231306,83.3,Needs Review,Eridanus,26,54.88274,-23.21826,21.0,0.76,4786301.0,
SMDG 0340559-235101,83.3,Needs Review,Eridanus,26,55.23296,-23.85031,21.0,0.81,7244359.0,
SMDG 0341202-231539,83.3,Needs Review,Eridanus,26,55.33436,-23.26092,21.0,0.75,18620871.0,
SMDG 0341326-231108,83.3,Needs Review,Eridanus,26,55.38587,-23.1856,21.0,1.18,6456542.0,
SMDG 0341331-230852,83.3,Needs Review,Eridanus,26,55.38812,-23.14772,21.0,0.69,1698244.0,
SMDG 0342478-234626,83.3,Needs Review,Eridanus,26,55.69903,-23.7739,21.0,1.02,13182567.0,
SMDG 0342509-235621,83.3,Needs Review,Eridanus,26,55.7121,-23.9393,21.0,0.57,3388441.0,
SMDG 0345106-232201,83.3,Needs Review,Eridanus,26,56.29428,-23.36689,21.0,0.83,6918309.0,
SMDG0333094-280938,83.3,Needs Review,Fornax,-1,53.2891,-28.1606,55.0,1.65,104712854.0,
FCC 240,83.3,Needs Review,Fornax,26,55.1138,-31.6861,20.0,1.0,81000000.0,
SMDG 0335006-240205,83.3,Needs Review,Fornax,26,53.75237,-24.03474,21.0,1.05,20417379.0,
SMDG 0335396-240610,83.3,Needs Review,Fornax,26,53.9149,-24.10278,21.0,1.01,4265795.0,
SMDG 0335557-240456,83.3,Needs Review,Fornax,26,53.98221,-24.08214,21.0,0.76,20417379.0,
SMDG 0336515-242027,83.3,Needs Review,Fornax,26,54.21476,-24.34079,21.0,0.91,28183829.0,
SMDG 0337349-241754,83.3,Needs Review,Fornax,26,54.39532,-24.2984,21.0,1.15,8912509.0,
AGC 749251,83.3,Needs Review,Gemini,-1,113.7513,26.6589,106.0,3.01,114815362.0,
